compounds	minFlux	maxFlux	concentration
cpd03424	-100	100	0.001
cpd00028	-100	100	0.001
cpd10515	-100	100	0.001
cpd00030	-100	100	0.001
cpd00149	-100	100	0.001
cpd00058	-100	100	0.001
cpd00099	-100	100	0.001
cpd00007	-100	100	0.001
cpd00034	-100	100	0.001
cpd00156	-100	100	0.001
cpd00249	-100	100	0.001
cpd00092	-100	100	0.001
cpd00069	-100	100	0.001
cpd00065	-100	100	0.001
cpd00184	-100	100	0.001
cpd00161	-100	100	0.001
cpd00048	-100	100	0.001
cpd00054	-100	100	0.001
cpd00129	-100	100	0.001
cpd00009	-100	100	0.001
cpd00066	-100	100	0.001
cpd00971	-100	100	0.001
cpd00254	-100	100	0.001
cpd00060	-100	100	0.001
cpd00039	-100	100	0.001
cpd00107	-100	100	0.001
cpd00205	-100	100	0.001
cpd00246	-100	100	0.001
cpd00322	-100	100	0.001
cpd00226	-100	100	0.001
cpd00119	-100	100	0.001
cpd00531	-100	100	0.001
cpd00001	-100	100	0.001
cpd00067	-100	100	0.001
cpd00033	-100	100	0.001
cpd00023	-100	100	0.001
cpd00027	-100	100	0.001
cpd10516	-100	100	0.001
cpd00654	-100	100	0.001
cpd00438	-100	100	0.001
cpd00381	-100	100	0.001
cpd11595	-100	100	0.001
cpd01012	-100	100	0.001
cpd00063	-100	100	0.001
cpd00041	-100	100	0.001
cpd01048	-100	100	0.001
cpd00051	-100	100	0.001
cpd00035	-100	100	0.001
cpd00182	-100	100	0.001
cpd00311	-100	100	0.001
cpd00126	-100	100	0.001
cpd00018	-100	100	0.001
cpd00091	-100	100	0.001
cpd00046	-100	100	0.001
cpd00793	-100	100	0.001
cpd00239	-100	100	0.001
cpd00013	-100	100	0.001
cpd00244	-100	100	0.001
cpd11574	-100	100	0.001
cpd00020	-100	100	0.001
cpd11657	-100	100	0.001
cpd00116	-100	100	0.001
