model1,model2,media,monoculture growth model1,monoculture growth model2,coculture growth model1,coculture growth model2,community growth,MRO_model1,MRO_model2,CIP,MIP_model1 (costless),MIP_model2 (costless),BSS_model1,BSS_model2,PC_model1,PC_model2,PC_comm,BIT,GYD1,GYD2
PAg2.genome.mdl,PK.genome.mdl,M9_Alanine,6.3772,5.1835,0.466425930647165,11.262574069352835,11.729,76.923% (20/26),62.500% (20/32),6,1 (0),0 (0),62.5%,57.692%,0.07314,2.1728,1.0146,parasitism,0.18718,-0.23029
PAg2.genome.mdl,PK.genome.mdl,M9_Arginine,15.992,13.811,3.5548906044414856,22.415109395558513,25.97,76.923% (20/26),62.500% (20/32),8,2 (1),2 (0),62.5%,57.692%,0.22229,1.623,0.87139,parasitism,0.13638,-0.15792
PAg2.genome.mdl,PK.genome.mdl,M9_Fructose,38.011,30.964,13.656787702834208,42.56721229716579,56.224,76.923% (20/26),62.500% (20/32),7,0 (0),0 (0),62.5%,57.692%,0.35929,1.3747,0.81514,parasitism,0.18539,-0.22759
PAg2.genome.mdl,PK.genome.mdl,M9_GlcNAc,37.135,30.081,12.994217251352739,49.170782748647255,62.165,76.923% (20/26),62.500% (20/32),12,0 (0),0 (0),62.5%,57.692%,0.34992,1.6346,0.92485,parasitism,0.18996,-0.2345
PAg2.genome.mdl,PK.genome.mdl,M9_Acetate,14.995,7.6402,4.454664450019298,21.383335549980703,25.838,76.923% (20/26),62.500% (20/32),5,0 (0),0 (0),62.5%,57.692%,0.29708,2.7988,1.1415,parasitism,0.49048,-0.96264
PAg2.genome.mdl,PK.genome.mdl,M9_Cellobiose,39.58,0.085579,19.121981226174356,56.63901877382565,75.761,76.923% (20/26),62.500% (20/32),6,0 (0),0 (0),62.5%,57.692%,0.48312,661.83,1.91,parasitism,0.99784,-461.5
PAg2.genome.mdl,PK.genome.mdl,M9_Citrate,35.119,21.434,5.367945308644478,40.39005469135552,45.758,76.923% (20/26),62.500% (20/32),5,1 (0),1 (0),62.5%,57.692%,0.15285,1.8844,0.80912,parasitism,0.38968,-0.63847
PAg2.genome.mdl,PK.genome.mdl,M9_Glucose,39.58,27.994,14.262312999325566,41.91268700067443,56.175,76.923% (20/26),62.500% (20/32),8,0 (0),0 (0),62.5%,57.692%,0.36034,1.4972,0.83131,parasitism,0.29272,-0.41387
PAg2.genome.mdl,PK.genome.mdl,M9_Glutamine,24.876,19.13,5.670401165796805,33.5455988342032,39.216,76.923% (20/26),62.500% (20/32),5,1 (0),1 (0),62.5%,57.692%,0.22795,1.7536,0.89115,parasitism,0.23099,-0.30037
PAg2.genome.mdl,PK.genome.mdl,M9_Mannitol,33.724,0.085579,15.60566641463739,30.94333358536261,46.549,76.923% (20/26),62.500% (20/32),8,0 (0),0 (0),62.5%,57.692%,0.46275,361.58,1.3768,parasitism,0.99746,-393.07
PAg2.genome.mdl,PK.genome.mdl,M9_Mannose,39.58,27.994,14.262312998575633,41.912687001424366,56.175,76.923% (20/26),62.500% (20/32),8,0 (0),0 (0),62.5%,57.692%,0.36034,1.4972,0.83131,parasitism,0.29272,-0.41387
PAg2.genome.mdl,PK.genome.mdl,M9_Proline,24.897,23.891,7.844453227334608,35.4955467726654,43.34,76.923% (20/26),62.500% (20/32),7,0 (0),0 (0),62.5%,57.692%,0.31508,1.4857,0.88833,parasitism,0.040406,-0.042108
PAg2.genome.mdl,PK.genome.mdl,M9_Fumarate,34.917,23.383,5.174514278761171,40.36448572123883,45.539,76.923% (20/26),62.500% (20/32),7,2 (0),2 (0),62.5%,57.692%,0.14819,1.7262,0.78111,parasitism,0.33033,-0.49326
PAg2.genome.mdl,PK.genome.mdl,M9_Galactose,39.434,8.9939,20.555705181447845,34.769294818552154,55.325,76.923% (20/26),62.500% (20/32),7,1 (0),0 (0),62.5%,57.692%,0.52127,3.8659,1.1424,parasitism,0.77193,-3.3845
PAg2.genome.mdl,PK.genome.mdl,M9_Glycerol,27.456,16.487,17.176689957077553,18.582310042922447,35.759,76.923% (20/26),62.500% (20/32),6,0 (0),0 (0),62.5%,57.692%,0.62561,1.1271,0.81376,parasitism,0.39951,-0.66531
PAg2.genome.mdl,PK.genome.mdl,M9_Ribose,37.817,20.447,13.279396410846262,39.85660358915374,53.136,76.923% (20/26),62.500% (20/32),7,0 (0),0 (0),62.5%,57.692%,0.35115,1.9493,0.91199,parasitism,0.45932,-0.84951
PAg2.genome.mdl,PK.genome.mdl,M9_L-Arabinose,37.547,0.085579,13.343878549347298,38.9351214506527,52.279,76.923% (20/26),62.500% (20/32),8,0 (0),0 (0),62.5%,57.692%,0.35539,454.96,1.3892,parasitism,0.99772,-437.74
PAg2.genome.mdl,PK.genome.mdl,M9_Serine,26.483,21.638,4.48468712020859,32.99931287979141,37.484,76.923% (20/26),62.500% (20/32),6,0 (0),0 (0),62.5%,57.692%,0.16934,1.5251,0.77895,parasitism,0.18295,-0.22391
PAg2.genome.mdl,PK.genome.mdl,M9_Maltose,39.58,32.432,19.121981226145035,56.63901877385496,75.761,76.923% (20/26),62.500% (20/32),10,0 (0),0 (0),62.5%,57.692%,0.48312,1.7464,1.0521,parasitism,0.1806,-0.2204
PAg2.genome.mdl,PK.genome.mdl,M9_Mix,56.152,38.351,20.65155355698197,68.92444644301803,89.576,76.923% (20/26),62.500% (20/32),12,1 (0),1 (0),62.5%,57.692%,0.36778,1.7972,0.94786,parasitism,0.31701,-0.46416
PAg2.genome.mdl,PK.genome.mdl,M9_Pyruvate,26.145,21.29,4.404457558367436,32.507542441632566,36.912,76.923% (20/26),62.500% (20/32),7,0 (0),0 (0),62.5%,57.692%,0.16846,1.5269,0.77816,parasitism,0.1857,-0.22804
PAg2.genome.mdl,PK.genome.mdl,M9_Rhamnose,30.9,0.085579,5.108365643048707,43.235634356951294,48.344,76.923% (20/26),62.500% (20/32),7,0 (0),0 (0),62.5%,57.692%,0.16532,505.21,1.5602,parasitism,0.99723,-360.07
PAg2.genome.mdl,PK.genome.mdl,M9_Succinate,34.917,23.383,5.005613592401777,41.28738640759823,46.293,76.923% (20/26),62.500% (20/32),6,0 (0),0 (0),62.5%,57.692%,0.14336,1.7657,0.79405,parasitism,0.33033,-0.49326
PAg2.genome.mdl,PK.genome.mdl,M9_Sucrose,21.395,0.085579,1.2645078296831753,22.55549217031682,23.82,76.923% (20/26),62.500% (20/32),5,0 (0),0 (0),62.5%,57.692%,0.059103,263.56,1.1089,parasitism,0.996,-249.0
PAg2.genome.mdl,PK.genome.mdl,M9_Trehalose,39.58,0.085579,19.121981226181052,56.63901877381894,75.761,76.923% (20/26),62.500% (20/32),7,2 (1),0 (0),62.5%,57.692%,0.48312,661.83,1.91,parasitism,0.99784,-461.5
PAg2.genome.mdl,PR2.genome.mdl,M9_Alanine,6.3772,5.0785,11.421677324428266,0.207322675571734,11.629,73.077% (19/26),67.857% (19/28),5,0 (0),1 (1),60.714%,57.692%,1.791,0.040824,1.0151,parasitism,0.20365,-0.25573
PAg2.genome.mdl,PR2.genome.mdl,M9_Arginine,15.992,24.305,35.51452243786885,8.737477562131149,44.252,73.077% (19/26),67.857% (19/28),8,1 (0),0 (0),60.714%,57.692%,2.2208,0.35949,1.0981,parasitism,-0.51982,0.34203
PAg2.genome.mdl,PR2.genome.mdl,M9_Fructose,38.011,29.625,38.09186545466043,18.379134545339564,56.471,73.077% (19/26),67.857% (19/28),8,0 (0),0 (0),60.714%,57.692%,1.0021,0.62039,0.83493,amensalism,0.22062,-0.28307
PAg2.genome.mdl,PR2.genome.mdl,M9_GlcNAc,37.135,33.25,49.50466909996974,10.15033090003026,59.655,73.077% (19/26),67.857% (19/28),10,0 (0),0 (0),60.714%,57.692%,1.3331,0.30527,0.84755,parasitism,0.10462,-0.11684
PAg2.genome.mdl,PR2.genome.mdl,M9_Acetate,14.995,7.7059,21.773963298784647,7.2160367012153515,28.99,73.077% (19/26),67.857% (19/28),4,0 (0),1 (1),60.714%,57.692%,1.4521,0.93643,1.277,commensalism,0.4861,-0.94591
PAg2.genome.mdl,PR2.genome.mdl,M9_Cellobiose,39.58,0.0,57.9228938705445,18.1431061294555,76.066,73.077% (19/26),67.857% (19/28),5,0 (0),0 (0),60.714%,57.692%,1.4634,,1.9218,,1.0,
PAg2.genome.mdl,PR2.genome.mdl,M9_Citrate,35.119,20.406,40.84766953153033,5.046330468469667,45.894,73.077% (19/26),67.857% (19/28),6,0 (0),1 (0),60.714%,57.692%,1.1631,0.2473,0.82655,parasitism,0.41895,-0.72101
PAg2.genome.mdl,PR2.genome.mdl,M9_Glucose,39.58,30.366,38.0098268958906,18.461173104109402,56.471,73.077% (19/26),67.857% (19/28),7,0 (0),0 (0),60.714%,57.692%,0.96033,0.60796,0.80735,amensalism,0.23279,-0.30343
PAg2.genome.mdl,PR2.genome.mdl,M9_Glutamine,24.876,18.517,33.89934544119152,5.634654558808479,39.534,73.077% (19/26),67.857% (19/28),6,1 (0),1 (0),60.714%,57.692%,1.3627,0.3043,0.91107,parasitism,0.25563,-0.34341
